NEAR_FID,count,BC
1,13,958.92
2,13,1090
3,13,1051.4383561643835
4,13,1081
5,13,759
6,1,893
7,2,706.5675675675675
8,14,939.3051042639279
9,4,881.8461538461538
10,18,917.6827445652174
11,13,893
12,13,753
13,13,825
14,13,942.8
15,13,883
16,8,1490.0882352941176
17,6,1571.7857142857142
18,15,826
19,18,1232.3854386892176
20,18,1202.4591365665583
21,18,948.1297700587085
22,18,828
23,18,906.5454545454545
24,18,1130.75
25,6,1175.4285714285716
26,6,883
27,9,1142.9166666666667
28,15,1090.7606837606838
29,8,1356.9083333333333
30,13,1279
31,18,1142.0700123915735
32,18,1279.1575974120033
33,18,1140.491719484768
34,18,1001.6801969599658
35,18,973.7161549556974
36,18,1094
37,18,1235.6486486486488
38,18,1209.275
39,12,766.5
40,11,1093
41,15,1201.235294117647
42,6,1363.3
43,12,1005
44,18,824.2209302325582
45,18,831.9357142857143
46,17,1074.1030927835052
47,17,1008.3977272727273
48,17,958.9012345679013
49,19,1059.3793103448277
50,19,1029.5753424657535
51,20,833.4139474057197
52,20,914.7608974358975
53,18,894.1263572316618
54,18,871.7547579571726
55,18,987.1945943554808
56,18,926.9965206185567
57,18,1033.3939393939395
58,18,1011.5
59,15,1170.4545454545455
60,11,1363.34375
61,7,993
62,18,676.5597014925373
63,19,704.7213114754098
64,19,862.560975609756
65,19,1039.5
66,19,780.060975609756
67,19,880.2129629629629
68,18,765.7976485148515
69,20,762.30922580645165
70,17,965.021978021978
71,18,1181.3185960591131
72,18,1078.7864235421557
73,18,895.1188660477453
74,18,1009.2049523944863
75,14,739.3695652173913
76,12,690.4247306091966
77,18,966.6311389759666
78,18,1010.2307692307693
79,15,1005.5869565217391
80,12,1104.3
81,8,1114.2666666666667
82,18,1007.551282051282
83,19,892.1666666666666
84,19,766.938596491228
85,19,825.1464968152866
86,18,721.6521058000583
87,18,602.5319047619048
88,18,679.8284821903243
89,18,741.3718434343434
90,18,816.1620879120879
91,20,810.9237762237763
92,20,872.4360486322189
93,20,1066.6060150375938
94,18,993.2994322278298
95,18,836.6637921220401
96,18,983.8756613756614
97,18,1075.9860869565218
98,12,839
99,12,815.9558823529412
100,12,690.0531045751634
101,12,885.9598348348349
102,17,926.5641025641025
103,18,1060.1811764705883
104,18,997
105,8,696.5
106,14,742.2723214285714
107,8,1466.6822916666665
108,8,1280.4
109,12,805.25
110,19,796.7863247863248
111,18,696.4615056818182
112,18,730.9294258373207
113,18,808.0439849624061
114,18,658.3301898814834
115,18,729.1213827064081
116,18,774.6228471118177
117,18,801.4385455116626
118,20,739.3422619047619
119,20,738.9420289855072
120,20,763.402346247283
121,18,767.6603773584906
122,18,905.2845394736842
123,18,871.8080564917349
124,18,941.6518232819075
125,18,1038.5509507026934
126,1,911
127,18,865.5
128,18,889.3263157894737
129,18,838.1854838709678
130,13,812.640625
131,7,1267
132,9,722
133,19,674.4901960784314
134,18,925.4596407370287
135,18,836.503537735849
136,18,713.0117702095808
137,18,667.5056677018633
138,20,827.6876075731498
139,20,794.8550932568149
140,20,808.8425249169435
141,20,754.4061118585432
142,18,684.0522875816994
143,19,796.784
144,18,749.4951923076924
145,20,762.3933937251436
146,19,806.6067415730337
147,18,1007.3636734693878
148,18,998.258635157815
149,17,750.2571428571429
150,5,1076
151,17,772
152,19,826
153,18,726.8476974736169
154,18,804.9348070438366
155,18,750.6100891861761
156,18,761.905444842825
157,20,687.7869680024853
158,18,677.1758241758241
159,18,735.2494684620835
160,19,687.971264367816
161,19,637.156862745098
162,19,670.3463203463203
163,19,686.0065359477125
164,18,727.7931189150682
165,19,840.8546511627907
166,18,690.9602698650674
167,18,738.971923647146
168,13,1015
169,17,647.8571428571429
170,17,717
171,18,826.25
172,19,850.8461538461538
173,18,828.3869339879977
174,18,783.3128785241908
175,18,797.7980856396309
176,19,884.7131147540983
177,20,774.0721153846154
178,18,608.5892156862744
179,18,657.4175209692451
180,18,815.3807934014139
181,19,730.9067796610169
182,20,822.364990512334
183,19,838.4452554744526
184,20,708.0173233695652
185,19,743.551724137931
186,1,746.2242990654206
187,17,694
188,17,595
189,12,1017
190,19,874
191,18,744.0195061728396
192,18,624.6122835497836
193,18,820.3972294123287
194,20,751.6934981684982
195,20,752.0826086956522
196,20,803.3619254808523
197,20,841.3980344395953
198,20,935.8902173913043
199,20,796.06278850683
200,16,592.937392979452
201,16,607.72868757259
202,19,680
203,6,695.5
204,17,675
205,17,742.375
206,19,694.7741935483871
207,18,659.8551829268292
208,20,956.6713966836735
209,20,814.0424761904762
210,20,1014.0389751552796
211,18,764.0858250276855
212,18,777.5856798069187
213,18,778.3435831426392
214,20,836.6821353209448
215,16,590.4066394153351
216,16,530.133637491141
217,18,675.5246913580247
218,11,703
219,10,501.3944249839996
220,17,668.3648648648649
221,17,885
222,20,965.2576497128794
223,20,911.6440745460338
224,18,900.1622330097088
225,20,851.9191374663073
226,19,742.953488372093
227,18,811.2823529411764
228,18,738.1632751937984
229,20,688.6867757009346
230,20,726.96875
231,16,555.5478395061729
232,17,561.7473684210527
233,16,710.5
234,13,429.68
235,18,1075.3719362745098
236,18,847.5821428571428
237,14,586.5
238,18,840.5294117647059
239,18,690
240,18,934.3333333333333
241,17,767.1646341463414
242,19,668.8374948833401
243,20,781.9056255684033
244,18,888.0327811884629
245,18,823.1404306220095
246,18,673.6225992317541
247,20,756.762455656287
248,16,618.4437481993662
249,16,668.0318627450981
250,17,729.3684210526316
251,13,734.8695652173913
252,13,763.9811320754717
253,15,699.918918918919
254,17,566.4311926605504
255,17,704.3589743589744
256,17,686.4666666666667
257,17,746.8936170212766
258,17,879.56
259,18,695.4784902597403
260,18,659.0238095238095
261,18,700.5
262,16,655.4395511189405
263,16,696.0813397129186
264,20,767.8695281063285
265,18,714.7626801628342
266,18,664.0046816479401
267,20,621.7070716811315
268,20,577.9028948488718
269,16,567.0997288418419
270,16,706.4659806295399
271,19,732.6125
272,1,682
273,2,459.6388888888889
274,5,549.4318181818181
275,17,760.5791505791506
276,1,556.7777777777778
277,1,437
278,9,479
279,18,623.354458041958
280,16,643.0188172043011
281,20,635.5805100521221
282,20,682.3294232089722
283,18,580.5777777777778
284,20,690.7591102735062
285,17,577.7440273037543
286,16,542.0770320022656
287,16,634.9312260536399
288,18,670.918213969938
289,9,688
290,1,947.4893617021277
291,1,859.5263157894736
292,1,437
293,1,1112.9807692307693
294,1,728.6551724137931
295,1,752.0285714285715
296,13,391
297,16,782.8020833333333
298,16,613.6111111111111
299,16,615.5318181818182
300,20,707.6203987089953
301,19,573.8558139534883
302,20,589.7739448051948
303,17,539
304,4,643.5342465753424
305,3,817.5185185185185
306,12,612.5
307,18,715.7777777777778
308,1,434
309,1,648.202380952381
310,9,628
311,14,631.1363636363636
312,14,523.1619047619047
313,13,701.0776699029126
314,4,948.2142857142858
315,13,677
316,12,530.5044247787611
317,5,622
318,4,1231.2752936945576
319,11,666
320,14,701.0761605415861
321,15,747.75
322,14,565.1739130434783
323,14,820
324,12,614.1025670149932
325,5,759.3333333333334
326,9,739
327,6,632.4361757105943
328,4,645.1470588235294
329,11,703.81875
330,8,674.5997498436523
