OID,OID_1,MEAN_InvDi
-1,1,0.001383883235685
-1,2,0.001590555181028
-1,3,0.001787293725356
-1,4,0.001932802625524
-1,5,0.001966633118573
-1,6,0.003958739466616
-1,7,0.006693727722741
-1,8,0.097976048786659
-1,9,0.238435884271748
-1,10,0.001465831214155
-1,11,0.001803501660179
-1,12,0.003287774156197
-1,13,0.003136852082680
-1,14,0.002862827095669
-1,15,0.002626630223240
-1,16,0.003672232464305
-1,17,0.005718090928858
-1,18,0.048779209653148
-1,19,0.284094251757488
-1,20,0.173121093251975
-1,21,0.008609515369171
-1,22,0.001155261702661
-1,23,0.001432873524318
-1,24,0.001848459319444
-1,25,0.013204593861010
-1,26,0.009826608302537
-1,27,0.007198341055191
-1,28,0.005790942325839
-1,29,0.006525633178535
-1,30,0.035560432721395
-1,31,0.183002061840380
-1,32,0.300083074225113
-1,33,0.020040071774274
-1,34,0.004807281369576
-1,35,0.003218589805183
-1,36,0.000752103659470
-1,37,0.000876404530427
-1,38,0.001047127058264
-1,39,0.001295076173847
-1,40,0.001688970862015
-1,41,0.002398619822052
-1,42,0.021978788882261
-1,43,0.184293801054591
-1,44,0.164055512973573
-1,45,0.136971539454535
-1,46,0.154596198824001
-1,47,0.155057476998772
-1,48,0.142755992074963
-1,49,0.153405961936805
-1,50,0.151037722721230
-1,51,0.014624723398592
-1,52,0.165110206147656
-1,53,0.007517101046978
-1,54,0.003083685466554
-1,55,0.002118002063944
-1,56,0.001706253029988
-1,57,0.000680249856086
-1,58,0.000784447235492
-1,59,0.001975534276571
-1,60,0.206541804545559
-1,61,0.025321008136962
-1,62,0.005131518851267
-1,63,0.004250876454753
-1,64,0.004941980102449
-1,65,0.006091724251746
-1,66,0.006663440644043
-1,67,0.006114250050741
-1,68,0.004609097164939
-1,69,0.004701437121839
-1,70,0.121756074510049
-1,71,0.073400428651366
-1,72,0.003975891225273
-1,73,0.002286675654177
-1,74,0.001621239804954
-1,75,0.001278130880964
-1,76,0.000589204560383
-1,77,0.000611051792512
-1,78,0.000695391033951
-1,79,0.001552238724835
-1,80,0.002241503231053
-1,81,0.102339634668315
-1,82,0.084238329683430
-1,83,0.004220746360952
-1,84,0.002617378934519
-1,85,0.002284798108449
-1,86,0.002459793699381
-1,87,0.002682278912980
-1,88,0.002775646371301
-1,89,0.002687191113364
-1,90,0.002439954185684
-1,91,0.003209870743449
-1,92,0.008691888618632
-1,93,0.186261826136615
-1,94,0.006490324448678
-1,95,0.002939878720208
-1,96,0.001945535663399
-1,97,0.001459556402115
-1,98,0.000666831116396
-1,99,0.000653187407588
-1,100,0.000642652088427
-1,101,0.000637992463598
-1,102,0.000638457417081
-1,103,0.000702502321656
-1,104,0.000817447930312
-1,105,0.001215795649041
-1,106,0.001608484049211
-1,107,0.002381885745854
-1,108,0.004688915258157
-1,109,0.148222459637327
-1,110,0.009997631380102
-1,111,0.003160752288532
-1,112,0.001961932109843
-1,113,0.001589139294229
-1,114,0.001651298400830
-1,115,0.001740997959860
-1,116,0.001777910129458
-1,117,0.001744525608956
-1,118,0.001761510366923
-1,119,0.002466083160834
-1,120,0.004529966608970
-1,121,0.119534313727636
-1,122,0.086792967853835
-1,123,0.004336270838394
-1,124,0.002464177926595
-1,125,0.001756185816193
-1,126,0.001393794291071
-1,127,0.000815265783895
-1,128,0.000973808500712
-1,129,0.001208992622851
-1,130,0.001594693302177
-1,131,0.002346667965176
-1,132,0.148977165226825
-1,133,0.018503112916369
-1,134,0.003434926901828
-1,135,0.002139816326380
-1,136,0.001647277489537
-1,137,0.001395584924612
-1,138,0.001312295674579
-1,139,0.001310205800692
-1,140,0.001297129430459
-1,141,0.001475857204059
-1,142,0.001997411788034
-1,143,0.003091319417581
-1,144,0.007400430434500
-1,145,0.200645570654888
-1,146,0.009775760379853
-1,147,0.003540915939375
-1,148,0.002315443218395
-1,149,0.001719151867146
-1,150,0.001169470198802
-1,151,0.001518641861912
-1,152,0.155918984462041
-1,153,0.005678101119702
-1,154,0.003112127623172
-1,155,0.002225455798616
-1,156,0.001734746115108
-1,157,0.001408524895960
-1,158,0.001182740596705
-1,159,0.001091206533310
-1,160,0.001289302670048
-1,161,0.001663832264021
-1,162,0.002344965086086
-1,163,0.003983434663969
-1,164,0.043094156235456
-1,165,0.196161258846987
-1,166,0.007758218320669
-1,167,0.003395979563938
-1,168,0.002181309960142
-1,169,0.001389664088492
-1,170,0.001871959028067
-1,171,0.144525047545321
-1,172,0.118593244439689
-1,173,0.006520918527385
-1,174,0.003452066117316
-1,175,0.002357534089533
-1,176,0.001762250635657
-1,177,0.001393411226454
-1,178,0.001142111795198
-1,179,0.001144559044042
-1,180,0.001420273794793
-1,181,0.001867969642917
-1,182,0.002665402993152
-1,183,0.004522170907003
-1,184,0.067983223198680
-1,185,0.161663577420404
-1,186,0.005787339514354
-1,187,0.001590858280251
-1,188,0.002167483996018
-1,189,0.134824939223472
-1,190,0.145087364794454
-1,191,0.008495038340916
-1,192,0.003588623151882
-1,193,0.002305380788457
-1,194,0.001673103238281
-1,195,0.001318682824494
-1,196,0.001116308234632
-1,197,0.001224909276643
-1,198,0.001513265542744
-1,199,0.001953393782314
-1,200,0.002787204103661
-1,201,0.005572739202180
-1,202,0.169053268983262
-1,203,0.012818130120868
-1,204,0.001678897297243
-1,205,0.002211177326681
-1,206,0.157282735911431
-1,207,0.007377860328415
-1,208,0.003179349403363
-1,209,0.002106426593382
-1,210,0.001575477774895
-1,211,0.001247198005731
-1,212,0.001096530774084
-1,213,0.001256830617785
-1,214,0.001579508617870
-1,215,0.002242651342822
-1,216,0.004022425235598
-1,217,0.082603908719029
-1,218,0.094051914516604
-1,219,0.002149983673589
-1,220,0.001716049099050
-1,221,0.002211177326681
-1,222,0.129841736041708
-1,223,0.005499416203238
-1,224,0.002835520494264
-1,225,0.001909938970348
-1,226,0.001433531038929
-1,227,0.001175036239438
-1,228,0.001218338990584
-1,229,0.001449167330866
-1,230,0.001985454571259
-1,231,0.003260027902434
-1,232,0.011451349377166
-1,233,0.160700372045394
-1,234,0.003788735397393
-1,235,0.001996869838913
-1,236,0.002217487064481
-1,237,0.003178657937679
-1,238,0.006160248545930
-1,239,0.153486532275565
-1,240,0.071593843259616
-1,241,0.004127944306238
-1,242,0.002357732052624
-1,243,0.001674068802386
-1,244,0.001479145020712
-1,245,0.001559755977651
-1,246,0.001735624217836
-1,247,0.001999961989350
-1,248,0.002845017069485
-1,249,0.006861403107177
-1,250,0.159643009351566
-1,251,0.074732416580664
-1,252,0.013273370882962
-1,253,0.007859116143081
-1,254,0.005792420430225
-1,255,0.004671691736439
-1,256,0.004035153464065
-1,257,0.003649850630900
-1,258,0.003167627565563
-1,259,0.002712549454300
-1,260,0.002529176928801
-1,261,0.191167384493165
-1,262,0.007147234154399
-1,263,0.002990348453750
-1,264,0.002276833279466
-1,265,0.002083066818013
-1,266,0.002224774945644
-1,267,0.002606571964861
-1,268,0.003115699259797
-1,269,0.003829424995347
-1,270,0.005945078745717
-1,271,0.165745678592939
-1,272,0.039005477393512
-1,273,0.237529907664284
-1,274,0.172822781787254
-1,275,0.092176275518723
-1,276,0.057879760264186
-1,277,0.009857048902195
-1,278,0.122813825438498
-1,279,0.048826321852393
-1,280,0.005046826706384
-1,281,0.004194695274346
-1,282,0.003568779966445
-1,283,0.003946750423056
-1,284,0.005387885831296
-1,285,0.009055639047292
-1,286,0.073570692545036
-1,287,0.164204963212833
-1,288,0.232552133735735
-1,289,0.182280089257984
-1,290,0.080661364438711
-1,291,0.135350987281417
-1,292,0.151507436209358
-1,293,0.221272668037564
-1,294,0.197861850711051
-1,295,0.143238091756357
-1,296,0.127136943968944
-1,297,0.194359901268035
-1,298,0.152221264675027
-1,299,0.121965499337530
-1,300,0.041333420120645
-1,301,0.095569899037946
-1,302,0.192623843294568
-1,303,0.168162527652457
-1,304,0.105532014073106
-1,305,0.009968549443875
-1,306,0.022075092475861
-1,307,0.152961531757610
-1,308,0.171194841878023
-1,309,0.266942026410252
-1,310,0.317708216886967
-1,311,0.048456117712194
-1,312,0.009459667358315
-1,313,0.048335974309593
-1,314,0.119023972593714
-1,315,0.076647720818873
-1,316,0.150477726872778
-1,317,0.328166777706938
-1,318,0.088700084439479
-1,319,0.004238082568045
-1,320,0.003144113651942
-1,321,0.003642943727900
-1,322,0.004457820850075
-1,323,0.065131055370439
-1,324,0.094725223890273
-1,325,0.315487792452332
-1,326,0.002133109339338
-1,327,0.002413405512052
-1,328,0.004420502049034
-1,329,0.148914686857024
-1,330,0.010553417894989